,Date,Monthly Mean Total Sunspot Number
0,1/31/2000,133.1
1,2/29/2000,165.7
2,3/31/2000,217.7
3,4/30/2000,191.5
4,5/31/2000,165.9
5,6/30/2000,188
6,7/31/2000,244.3
7,8/31/2000,180.5
8,9/30/2000,156
9,10/31/2000,141.6
10,11/30/2000,158.1
11,12/31/2000,143.3
12,1/31/2001,142.6
13,2/28/2001,121.5
14,3/31/2001,165.8
15,4/30/2001,161.7
16,5/31/2001,142.1
17,6/30/2001,202.9
18,7/31/2001,123
19,8/31/2001,161.5
20,9/30/2001,238.2
21,10/31/2001,194.1
22,11/30/2001,176.6
23,12/31/2001,213.4
24,1/31/2002,184.6
25,2/28/2002,170.2
26,3/31/2002,147.1
27,4/30/2002,186.9
28,5/31/2002,187.5
29,6/30/2002,128.8
30,7/31/2002,161
31,8/31/2002,175.6
32,9/30/2002,187.9
33,10/31/2002,151.2
34,11/30/2002,147.2
35,12/31/2002,135.3
36,1/31/2003,133.5
37,2/28/2003,75.7
38,3/31/2003,100.7
39,4/30/2003,97.9
40,5/31/2003,86.8
41,6/30/2003,118.7
42,7/31/2003,128.3
43,8/31/2003,115.4
44,9/30/2003,78.5
45,10/31/2003,97.8
46,11/30/2003,82.9
47,12/31/2003,72.2
48,1/31/2004,60.6
49,2/29/2004,74.6
50,3/31/2004,74.8
51,4/30/2004,59.2
52,5/31/2004,72.8
53,6/30/2004,66.5
54,7/31/2004,83.8
55,8/31/2004,69.7
56,9/30/2004,48.8
57,10/31/2004,74.2
58,11/30/2004,70.1
59,12/31/2004,28.9
60,1/31/2005,48.1
61,2/28/2005,43.5
62,3/31/2005,39.6
63,4/30/2005,38.7
64,5/31/2005,61.9
65,6/30/2005,56.8
66,7/31/2005,62.4
67,8/31/2005,60.5
68,9/30/2005,37.2
69,10/31/2005,13.2
70,11/30/2005,27.5
71,12/31/2005,59.3
72,1/31/2006,20.9
73,2/28/2006,5.7
74,3/31/2006,17.3
75,4/30/2006,50.3
76,5/31/2006,37.2
77,6/30/2006,24.5
78,7/31/2006,22.2
79,8/31/2006,20.8
80,9/30/2006,23.7
81,10/31/2006,14.9
82,11/30/2006,35.7
83,12/31/2006,22.3
84,1/31/2007,29.3
85,2/28/2007,18.4
86,3/31/2007,7.2
87,4/30/2007,5.4
88,5/31/2007,19.5
89,6/30/2007,21.3
90,7/31/2007,15.1
91,8/31/2007,9.8
92,9/30/2007,4
93,10/31/2007,1.5
94,11/30/2007,2.8
95,12/31/2007,17.3
96,1/31/2008,4.1
97,2/29/2008,2.9
98,3/31/2008,15.5
99,4/30/2008,3.6
100,5/31/2008,4.6
101,6/30/2008,5.2
102,7/31/2008,0.6
103,8/31/2008,0.3
104,9/30/2008,1.2
105,10/31/2008,4.2
106,11/30/2008,6.6
107,12/31/2008,1
108,1/31/2009,1.3
109,2/28/2009,1.2
110,3/31/2009,0.6
111,4/30/2009,1.2
112,5/31/2009,2.9
113,6/30/2009,6.3
114,7/31/2009,5.5
115,8/31/2009,0
116,9/30/2009,7.1
117,10/31/2009,7.7
118,11/30/2009,6.9
119,12/31/2009,16.3
120,1/31/2010,19.5
121,2/28/2010,28.5
122,3/31/2010,24
123,4/30/2010,10.4
124,5/31/2010,13.9
125,6/30/2010,18.8
126,7/31/2010,25.2
127,8/31/2010,29.6
128,9/30/2010,36.4
129,10/31/2010,33.6
130,11/30/2010,34.4
131,12/31/2010,24.5
132,1/31/2011,27.3
133,2/28/2011,48.3
134,3/31/2011,78.6
135,4/30/2011,76.1
136,5/31/2011,58.2
137,6/30/2011,56.1
138,7/31/2011,64.5
139,8/31/2011,65.8
140,9/30/2011,120.1
141,10/31/2011,125.7
142,11/30/2011,139.1
143,12/31/2011,109.3
144,1/31/2012,94.4
145,2/29/2012,47.8
146,3/31/2012,86.6
147,4/30/2012,85.9
148,5/31/2012,96.5
149,6/30/2012,92
150,7/31/2012,100.1
151,8/31/2012,94.8
152,9/30/2012,93.7
153,10/31/2012,76.5
154,11/30/2012,87.6
155,12/31/2012,56.8
156,1/31/2013,96.1
157,2/28/2013,60.9
158,3/31/2013,78.3
159,4/30/2013,107.3
160,5/31/2013,120.2
161,6/30/2013,76.7
162,7/31/2013,86.2
163,8/31/2013,91.8
164,9/30/2013,54.5
165,10/31/2013,114.4
166,11/30/2013,113.9
167,12/31/2013,124.2
168,1/31/2014,117
169,2/28/2014,146.1
170,3/31/2014,128.7
171,4/30/2014,112.5
172,5/31/2014,112.5
173,6/30/2014,102.9
174,7/31/2014,100.2
175,8/31/2014,106.9
176,9/30/2014,130
177,10/31/2014,90
178,11/30/2014,103.6
179,12/31/2014,112.9
180,1/31/2015,93
181,2/28/2015,66.7
182,3/31/2015,54.5
183,4/30/2015,75.3
184,5/31/2015,88.8
185,6/30/2015,66.5
186,7/31/2015,65.8
187,8/31/2015,64.4
188,9/30/2015,78.6
189,10/31/2015,63.6
190,11/30/2015,62.2
191,12/31/2015,58
192,1/31/2016,57
193,2/29/2016,56.4
194,3/31/2016,54.1
195,4/30/2016,37.9
196,5/31/2016,51.5
197,6/30/2016,20.5
198,7/31/2016,32.4
199,8/31/2016,50.2
200,9/30/2016,44.6
201,10/31/2016,33.4
202,11/30/2016,21.4
203,12/31/2016,18.5
204,1/31/2017,26.1
205,2/28/2017,26.4
206,3/31/2017,17.7
207,4/30/2017,32.3
208,5/31/2017,18.9
209,6/30/2017,19.2
210,7/31/2017,17.8
211,8/31/2017,32.6
212,9/30/2017,43.7
213,10/31/2017,13.2
214,11/30/2017,5.7
215,12/31/2017,8.2
216,1/31/2018,6.8
217,2/28/2018,10.7
218,3/31/2018,2.5
219,4/30/2018,8.9
220,5/31/2018,13.1
221,6/30/2018,15.6
222,7/31/2018,1.6
223,8/31/2018,8.7
224,9/30/2018,3.3
225,10/31/2018,4.9
226,11/30/2018,4.9
227,12/31/2018,3.1
228,1/31/2019,7.7
229,2/28/2019,0.8
230,3/31/2019,9.4
231,4/30/2019,9.1
232,5/31/2019,9.9
233,6/30/2019,1.2
234,7/31/2019,0.9
235,8/31/2019,0.5
236,9/30/2019,1.1
237,10/31/2019,0.4
238,11/30/2019,0.5
239,12/31/2019,1.5
240,1/31/2020,6.2
241,2/29/2020,0.2
242,3/31/2020,1.5
243,4/30/2020,5.2
244,5/31/2020,0.2
245,6/30/2020,5.8
246,7/31/2020,6.1
247,8/31/2020,7.5
248,9/30/2020,0.6
249,10/31/2020,14.4
250,11/30/2020,34
251,12/31/2020,21.8
252,1/31/2021,10.4
